codigo,descricao,grupo,total_movimento,data_baixa,estoque_minimo,tempo_reposicao,ano,mes
7437,PORCA ACO FOGAO M10 X 3 MM ZB,FIXAÇÃO,6,2025-06-16 00:00:00.000,200,3,2025,6
5629,CX MASTER 410x370x460 REF:8380/8382,EMBALAGEM,1,2024-12-17 00:00:00.000,3,7,2024,12
7121,CONJ DISCO INJ MARROM TEXT LANT 340,MONTADOS,8,2024-12-17 00:00:00.000,150,7,2024,12
9512,BOLA INJ P/ LANTER SEX C/ F MARROM,INJETADOS,8,2024-12-17 00:00:00.000,90,12,2024,12
9513,BOLA INJ P/ LANTER SEX S/ F MARROM,INJETADOS,8,2024-12-17 00:00:00.000,118,12,2024,12
9516,CHAPEU INJ TRAPEZI MARROM 8380/8381 IOWA,INJETADOS,8,2024-12-17 00:00:00.000,50,12,2024,12
9517,QUADRO INJ MARROM 8340/8341 LIN.VIRGINIA,INJETADOS,8,2024-12-17 00:00:00.000,120,12,2024,12
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,16,2024-12-17 00:00:00.000,10453,30,2024,12
4586,LENTE INJ CRISTAL 8340/8341 LIN VIRGINIA,INJETADOS,32,2024-12-17 00:00:00.000,2100,12,2024,12
4987,CONJ SOQ 40 CM PARALELO MR,MONTADOS,8,2024-12-17 00:00:00.000,0,7,2024,12
5021,TRIANGULO GRANDE MARROM P/ CORRENTE,INJETADOS,8,2024-12-17 00:00:00.000,90,12,2024,12
5530,LENTE TRAPEZIO CRISTAL CHAPEU LINH IOWA,INJETADOS,8,2024-12-17 00:00:00.000,120,17,2024,12
5574,CX PAP SIMPLES KRAFT REF: 8380/8382,EMBALAGEM,8,2024-12-17 00:00:00.000,27,7,2024,12
6666,TRILHO AL 300MM 2 FURO 40X220,ELABORAÇÃO AX(1),11,2025-07-18 00:00:00.000,50,5,2025,7
514,SOQUETE PORCELANA E27 FX11 CONICO,ELÉTRICO,200,2024-02-23 00:00:00.000,0,5,2024,2
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,400,2024-02-23 00:00:00.000,10453,30,2024,2
2958,CABO 26 CM  PARAL PR,ELÉTRICO,200,2024-02-23 00:00:00.000,4000,15,2024,2
8583,CHAPEU ARAND. INJ OURO VELHO 8336 ASPEN,INJETADOS,200,2024-02-23 00:00:00.000,0,12,2024,2
8585,BRACO INJ MINI ARAN OURO VELH 8336 ASPEN,INJETADOS,200,2024-02-23 00:00:00.000,200,12,2024,2
514,SOQUETE PORCELANA E27 FX11 CONICO,ELÉTRICO,24,2024-04-23 00:00:00.000,0,5,2024,4
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,48,2024-04-23 00:00:00.000,10453,30,2024,4
2958,CABO 26 CM  PARAL PR,ELÉTRICO,24,2024-04-23 00:00:00.000,4000,15,2024,4
7039,CHAPEU ARAND. INJ PRETO 8336 ASPEN,INJETADOS,24,2024-04-23 00:00:00.000,0,12,2024,4
7045,BRACO INJ MINI ARAN PRETO 8336 ASPEN,INJETADOS,24,2024-04-23 00:00:00.000,0,12,2024,4
